divipola_municipio,nombre_municipio,nombre_departamento,region,categoria
18410,La Montañita,Caquetá,Amazonia,Sexta
18460,Milán,Caquetá,Amazonia,Sexta
18479,Morelia,Caquetá,Amazonia,Sexta
18592,Puerto Rico,Caquetá,Amazonia,Sexta
18610,San José del Fragua,Caquetá,Amazonia,Sexta
18753,San Vicente del Caguán,Caquetá,Amazonia,Sexta
18756,Solano,Caquetá,Amazonia,Sexta
18785,Solita,Caquetá,Amazonia,Sexta
18860,Valparaíso,Caquetá,Amazonia,Sexta
19001,Popayán,Cauca,Pacífico,Sexta
19022,Almaguer,Cauca,Pacífico,Sexta
19050,Argelia,Cauca,Pacífico,Sexta
19075,Balboa,Cauca,Pacífico,Sexta
19100,Bolívar,Cauca,Pacífico,Sexta
19110,Buenos Aires,Cauca,Pacífico,Sexta
19130,Cajibío,Cauca,Pacífico,Sexta
19137,Caldono,Cauca,Pacífico,Sexta
19142,Caloto,Cauca,Pacífico,Sexta
19212,Corinto,Cauca,Pacífico,Sexta
19256,El Tambo,Cauca,Pacífico,Sexta
19290,Florencia,Cauca,Pacífico,Sexta
19300,Guachené,Cauca,Pacífico,Sexta
19318,Guapi,Cauca,Pacífico,Sexta
19355,Inzá,Cauca,Pacífico,Sexta
19364,Jambaló,Cauca,Pacífico,Sexta
19392,La Sierra,Cauca,Pacífico,Sexta
19397,La Vega,Cauca,Pacífico,Sexta
19418,López,Cauca,Pacífico,Sexta
19450,Mercaderes,Cauca,Pacífico,Sexta
19455,Miranda,Cauca,Pacífico,Sexta
19473,Morales,Cauca,Pacífico,Sexta
19513,Padilla,Cauca,Pacífico,Sexta
19517,Paez,Cauca,Pacífico,Sexta
19532,Patía,Cauca,Pacífico,Sexta
19533,Piamonte,Cauca,Pacífico,Sexta
19548,Piendamó,Cauca,Pacífico,Sexta
19573,Puerto Tejada,Cauca,Pacífico,Sexta
19585,Puracé,Cauca,Pacífico,Sexta
19622,Rosas,Cauca,Pacífico,Sexta
19693,San Sebastián,Cauca,Pacífico,Sexta
19698,Santander de Quilichao,Cauca,Pacífico,Sexta
19701,Santa Rosa,Cauca,Pacífico,Sexta
19743,Silvia,Cauca,Pacífico,Sexta
19760,Sotara,Cauca,Pacífico,Sexta
19780,Suárez,Cauca,Pacífico,Sexta
